Label, PI value, Time [s], OMP Threads, Iteration No.
Critical Parallel Execution, 3.141593, 1.970748, 114, 0
Critical Parallel Execution, 3.141593, 1.975544, 115, 0
Critical Parallel Execution, 3.141593, 1.979559, 116, 0
Critical Parallel Execution, 3.141593, 1.976810, 117, 0
Critical Parallel Execution, 3.141593, 1.989032, 118, 0
Critical Parallel Execution, 3.141593, 1.984433, 119, 0
Critical Parallel Execution, 3.141593, 1.983641, 120, 0
Critical Parallel Execution, 3.141593, 1.986748, 121, 0
Critical Parallel Execution, 3.141593, 1.991914, 122, 0
Critical Parallel Execution, 3.141593, 1.992515, 123, 0
Critical Parallel Execution, 3.141593, 2.001924, 124, 0
Critical Parallel Execution, 3.141593, 1.986260, 125, 0
Critical Parallel Execution, 3.141593, 2.008882, 126, 0
Critical Parallel Execution, 3.141593, 2.100761, 127, 0
Critical Parallel Execution, 3.141593, 2.137252, 128, 0
FOR parallel Execution, 0.000000, 1.732159, 1, 0
FOR parallel Execution, 0.000000, 0.867558, 2, 0
FOR parallel Execution, 0.000000, 0.578076, 3, 0
FOR parallel Execution, 0.000000, 0.433112, 4, 0
FOR parallel Execution, 0.000000, 0.346522, 5, 0
FOR parallel Execution, 0.000000, 0.289142, 6, 0
FOR parallel Execution, 0.000000, 0.249086, 7, 0
FOR parallel Execution, 0.000000, 0.217722, 8, 0
FOR parallel Execution, 0.000000, 0.192870, 9, 0
FOR parallel Execution, 0.000000, 0.173554, 10, 0
FOR parallel Execution, 0.000000, 0.158455, 11, 0
FOR parallel Execution, 0.000000, 0.144673, 12, 0
FOR parallel Execution, 0.000000, 0.134053, 13, 0
FOR parallel Execution, 0.000000, 0.125189, 14, 0
FOR parallel Execution, 0.000000, 0.115797, 15, 0
FOR parallel Execution, 0.000000, 0.109016, 16, 0
FOR parallel Execution, 0.000000, 0.102082, 17, 0
FOR parallel Execution, 0.000000, 0.096409, 18, 0
FOR parallel Execution, 0.000000, 0.091641, 19, 0
